527,Soldado de Assalto Leão Branco,312,0,1465,4860,180,1324,7,119,119,1280,0,0,0,0,0,0,202
528,Mosqueteiro Leão Branco,312,0,1464,4373,90,1324,7,119,119,1280,0,0,0,0,0,0,202
529,Mago Negro Leão Branco,311,0,1467,3887,250,1324,7,119,119,1280,0,0,0,0,0,0,202
530,Guarda Veterano Leão Branco,312,0,1465,5072,270,1325,7,119,119,1280,0,0,0,0,0,0,202
531,Franco-Atirador Leão Branco,312,0,1464,4565,90,1325,7,119,119,1280,0,0,0,0,0,0,202
532,Sacerdote Negro Leão Branco,311,0,1467,4057,330,1325,7,119,119,1280,0,0,0,0,0,0,202
533,Toupeira Cruel,255,0,0,4565,40,1325,7,119,119,1536,0,0,0,0,0,0,202
534,Kurzac,291,0,0,7608,20,1325,7,119,119,1543,0,0,0,0,0,0,202
535,Roda Sangrenta da Ruína,306,0,1503,6087,270,1325,10,119,119,1799,0,0,0,0,0,0,202
536,Akba do Desespero,289,0,1459,5326,120,1325,9,119,119,1796,0,0,0,0,0,0,202
537,Ulman Corrupto,322,0,1469,5567,0,1326,8,119,119,63492,0,0,0,0,0,0,202
538,Ulman Super Físico,322,0,1469,6959,270,1326,10,119,119,63492,0,0,0,0,0,0,202
539,Cavaleiro Santo Lorik,312,0,1465,21210,270,302,8,119,119,1280,0,0,0,0,0,0,203
540,Sentinela Vilander,312,0,1464,19090,270,302,8,119,119,1280,0,0,0,0,0,0,203
541,Alquimista Sedin,311,0,1467,16970,270,302,8,119,119,1280,0,0,0,0,0,0,203
543,Jahn Krauss,11,151,1041,21210,90,302,9,119,119,1280,0,0,0,0,0,0,203
544,Steuer RX18,291,0,0,25452,270,302,12,119,119,1543,0,0,0,0,0,0,203
545,Macanga,289,0,1459,22270,70,302,12,119,119,1796,0,0,0,0,0,0,203
546,Malik,301,0,1462,34957,90,303,35,119,119,63492,0,0,0,0,0,0,203
