2219,Lanceiro Esqueleto,313,3773,3618,1,301
2122,Lanceiro Esqueleto,313,3753,3475,1,301
2182,Lanceiro Esqueleto,313,3757,3451,1,301
2099,Lanceiro Esqueleto,313,3816,3499,1,301
2098,Lanceiro Esqueleto,313,3818,3499,1,301
2113,Lanceiro Esqueleto,313,3750,3507,1,301
2081,Lanceiro Esqueleto,313,3795,3550,1,301
2087,Lanceiro Esqueleto,313,3816,3557,1,301
2096,Lanceiro Esqueleto,313,3815,3510,1,301
2187,Arqueiro Esqueleto,1565,3770,3362,1,303
2117,Lanceiro Esqueleto,313,3736,3499,1,301
2079,Cavaleiro da Morte Mensageiro,1840,3812,3531,1,304
2067,Cavaleiro da Morte Mensageiro,1840,3731,3575,1,304
2086,Lanceiro Esqueleto,313,3814,3557,1,301
2139,Cavaleiro da Morte Mensageiro,1840,3776,3402,1,304
2159,Soldado de Assalto Esqueleto,1739,3801,3463,1,302
2170,Lanceiro Esqueleto,313,3740,3433,1,301
2169,Patrulheiro Esqueleto,312,3756,3424,1,317
2217,Lanceiro Esqueleto,313,3777,3618,1,301
2222,Soldado de Assalto Esqueleto,1739,3793,3610,1,302
2112,Lanceiro Esqueleto,313,3752,3507,1,301
2174,Lanceiro Esqueleto,313,3736,3445,1,301
7156,Saqueador do Clã Dread,1415,3535,3526,1,290
2176,Lanceiro Esqueleto,313,3751,3440,1,301
2116,Lanceiro Esqueleto,313,3736,3510,1,301
2089,Cavaleiro da Morte Mensageiro,1840,3818,3575,1,304
2231,Maliciosidade de Marquis,1391,3754,3479,1,405
2074,Lanceiro Esqueleto,313,3755,3551,1,301
2109,Lanceiro Esqueleto,313,3790,3481,1,301
2227,Lanceiro Esqueleto,313,3773,3598,1,301
2233,Maliciosidade de Marquis,1391,3754,3464,1,407
2161,Lanceiro Esqueleto,313,3792,3451,1,301
2195,Expedição do Clã Dread,330,3747,3649,1,232
2167,Patrulheiro Esqueleto,312,3758,3421,1,317
2140,Soldado de Assalto Esqueleto,1739,3774,3402,1,302
2146,Lanceiro Esqueleto,313,3813,3434,1,301
2158,Lanceiro Esqueleto,313,3790,3463,1,301
2216,Lanceiro Esqueleto,313,3740,3621,1,301
2210,Expedição do Clã Dread,330,3783,3647,1,232
2208,Soldado de Assalto Esqueleto,1739,3785,3645,1,302
7151,Explorador do Clã Dread,1572,3513,3519,1,289
2055,Cavaleiro da Morte Mensageiro,1840,3774,3579,1,304
2054,Soldado de Assalto Esqueleto,1739,3767,3583,1,302
2196,Soldado de Assalto Esqueleto,1739,3743,3633,1,302
2197,Soldado de Assalto Esqueleto,1739,3746,3634,1,302
2114,Lanceiro Esqueleto,313,3748,3507,1,301
2232,Maliciosidade de Marquis,1391,3794,3464,1,406
2104,Soldado de Assalto Esqueleto,1739,3819,3477,1,302
2178,Lanceiro Esqueleto,313,3753,3469,1,301
2100,Lanceiro Esqueleto,313,3814,3499,1,301
2177,Lanceiro Esqueleto,313,3749,3440,1,301
2060,Soldado de Assalto Esqueleto,1739,3782,3554,1,302
2105,Mago Combatente Esqueleto,1621,3817,3477,1,306
2083,Lanceiro Esqueleto,313,3799,3553,1,301
2062,Lanceiro Esqueleto,313,3753,3581,1,301
2144,Arqueiro Esqueleto,1565,3759,3423,1,303
2215,Soldado de Assalto Esqueleto,1739,3740,3623,1,302
2183,Lanceiro Esqueleto,313,3757,3453,1,301
2082,Lanceiro Esqueleto,313,3797,3552,1,301
2106,Soldado de Assalto Esqueleto,1739,3804,3484,1,302
2070,Lanceiro Esqueleto,313,3734,3557,1,301
2192,Soldado de Assalto Esqueleto,1739,3744,3650,1,302
2185,Soldado de Assalto Esqueleto,1739,3772,3525,1,302
2072,Lanceiro Esqueleto,313,3734,3547,1,301
2102,Lanceiro Esqueleto,313,3799,3507,1,301
2173,Lanceiro Esqueleto,313,3734,3445,1,301
2175,Lanceiro Esqueleto,313,3753,3440,1,301
2168,Patrulheiro Esqueleto,312,3761,3422,1,317
2111,Lanceiro Esqueleto,313,3794,3490,1,301
2218,Lanceiro Esqueleto,313,3775,3618,1,301
2171,Lanceiro Esqueleto,313,3742,3433,1,301
2108,Lanceiro Esqueleto,313,3796,3475,1,301
2165,Patrulheiro Esqueleto,312,3784,3420,1,317
2051,Lanceiro Esqueleto,313,3783,3582,1,301
2127,Lanceiro Esqueleto,313,3756,3492,1,301
2151,Lanceiro Esqueleto,313,3798,3440,1,301
2152,Lanceiro Esqueleto,313,3800,3440,1,301
2052,Lanceiro Esqueleto,313,3781,3582,1,301
2053,Soldado de Assalto Esqueleto,1739,3782,3583,1,302
2154,Cavaleiro da Morte Mensageiro,1840,3819,3468,1,304
2135,Cavaleiro da Morte Mensageiro,1840,3750,3397,1,304
2153,Cavaleiro da Morte Mensageiro,1840,3817,3468,1,304
2076,Lanceiro Esqueleto,313,3751,3553,1,301
2145,Lanceiro Esqueleto,313,3815,3434,1,301
2085,Lanceiro Esqueleto,313,3813,3547,1,301
2093,Lanceiro Esqueleto,313,3794,3567,1,301
2094,Lanceiro Esqueleto,313,3795,3564,1,301
2163,Cavaleiro da Morte Lutador,1926,3774,3386,1,305
2225,Lanceiro Esqueleto,313,3777,3598,1,301
2091,Lanceiro Esqueleto,313,3803,3581,1,301
7155,Saqueador do Clã Dread,1415,3535,3534,1,290
2059,Lanceiro Esqueleto,313,3783,3553,1,301
2201,Soldado de Assalto Esqueleto,1739,3768,3644,1,302
2126,Lanceiro Esqueleto,313,3756,3490,1,301
2131,Mago Combatente Esqueleto,1621,3771,3472,1,306
2050,Lanceiro Esqueleto,313,3766,3582,1,301
2166,Patrulheiro Esqueleto,312,3789,3422,1,317
2063,Lanceiro Esqueleto,313,3748,3581,1,301
2080,Cavaleiro da Morte Mensageiro,1840,3812,3526,1,304
2084,Lanceiro Esqueleto,313,3816,3547,1,301
2186,Arqueiro Esqueleto,1565,3779,3362,1,303
2065,Lanceiro Esqueleto,313,3755,3565,1,301
2149,Lanceiro Esqueleto,313,3814,3445,1,301
2118,Lanceiro Esqueleto,313,3734,3499,1,301
2194,Expedição do Clã Dread,330,3743,3645,1,232
2220,Lanceiro Esqueleto,313,3799,3609,1,301
2199,Expedição do Clã Dread,330,3770,3642,1,232
2128,Mago Combatente Esqueleto,1621,3780,3493,1,306
2069,Lanceiro Esqueleto,313,3732,3557,1,301
2132,Mago Combatente Esqueleto,1621,3781,3444,1,306
2184,Soldado de Assalto Esqueleto,1739,3778,3525,1,302
2058,Lanceiro Esqueleto,313,3781,3553,1,301
2191,Soldado de Assalto Esqueleto,1739,3742,3648,1,302
2157,Lanceiro Esqueleto,313,3800,3465,1,301
2193,Expedição do Clã Dread,330,3745,3647,1,232
2090,Cavaleiro da Morte Mensageiro,1840,3817,3580,1,304
2110,Lanceiro Esqueleto,313,3794,3492,1,301
7152,Guarda-Costas do Clã Dread,1655,3513,3513,1,291
2125,Soldado de Assalto Esqueleto,1739,3744,3480,1,302
2148,Lanceiro Esqueleto,313,3816,3445,1,301
2073,Lanceiro Esqueleto,313,3737,3547,1,301
2115,Lanceiro Esqueleto,313,3734,3510,1,301
2156,Lanceiro Esqueleto,313,3799,3465,1,301
2075,Lanceiro Esqueleto,313,3753,3552,1,301
2155,Cavaleiro da Morte Mensageiro,1840,3818,3460,1,304
2228,Maliciosidade de Marquis,1391,3794,3576,1,402
2068,Cavaleiro da Morte Mensageiro,1840,3732,3580,1,304
2181,Soldado de Assalto Esqueleto,1739,3746,3460,1,302
2088,Lanceiro Esqueleto,313,3818,3557,1,301
7157,Guarda-Costas do Clã Dread,1655,3528,3530,1,291
2130,Mago Combatente Esqueleto,1621,3778,3471,1,306
2078,Cavaleiro da Morte Mensageiro,1840,3738,3526,1,304
2137,Cavaleiro da Morte Mensageiro,1840,3799,3397,1,304
2066,Lanceiro Esqueleto,313,3755,3568,1,301
2071,Lanceiro Esqueleto,313,3736,3557,1,301
2223,Lanceiro Esqueleto,313,3748,3609,1,301
2121,Mago Combatente Esqueleto,1621,3732,3477,1,306
2136,Cavaleiro da Morte Mensageiro,1840,3750,3400,1,304
2124,Lanceiro Esqueleto,313,3759,3482,1,301
2101,Lanceiro Esqueleto,313,3801,3507,1,301
2179,Lanceiro Esqueleto,313,3755,3464,1,301
2141,Mago Combatente Esqueleto,1621,3778,3400,1,306
2211,Expedição do Clã Dread,330,3786,3647,1,232
2123,Lanceiro Esqueleto,313,3754,3480,1,301
2190,Marquis,10213,3775,3362,1,308
2129,Mago Combatente Esqueleto,1621,3769,3493,1,306
2160,Lanceiro Esqueleto,313,3792,3453,1,301
2212,Expedição do Clã Dread,330,3783,3643,1,232
2077,Lanceiro Esqueleto,313,3738,3531,1,301
2189,Garras do Guarda,9171,3775,3526,1,307
2119,Lanceiro Esqueleto,313,3732,3499,1,301
2057,Lanceiro Esqueleto,313,3766,3553,1,301
2061,Soldado de Assalto Esqueleto,1739,3767,3554,1,302
2229,Maliciosidade de Marquis,1391,3754,3576,1,403
2064,Soldado de Assalto Esqueleto,1739,3746,3571,1,302
2138,Cavaleiro da Morte Mensageiro,1840,3799,3400,1,304
2226,Lanceiro Esqueleto,313,3775,3598,1,301
2202,Soldado de Assalto Esqueleto,1739,3766,3642,1,302
2172,Lanceiro Esqueleto,313,3732,3445,1,301
2147,Lanceiro Esqueleto,313,3818,3445,1,301
2209,Soldado de Assalto Esqueleto,1739,3782,3645,1,302
2224,Soldado de Assalto Esqueleto,1739,3748,3611,1,302
2150,Lanceiro Esqueleto,313,3796,3440,1,301
2180,Lanceiro Esqueleto,313,3759,3463,1,301
2188,Cavaleiro da Morte Lutador,1926,3775,3370,1,305
2056,Lanceiro Esqueleto,313,3768,3553,1,301
2198,Expedição do Clã Dread,330,3768,3640,1,232
2097,Lanceiro Esqueleto,313,3813,3510,1,301
